bureau_record_id,customer_id,credit_score,enquiries_last_6m,credit_utilization_ratio,total_outstanding_loans,total_outstanding_amount,created_at
1,100000,794,0,0.42,0,₹0,2026-01-01 14:55:41
2,100001,762,9,0.92,5,"360,795",2026-01-04 14:55:41
3,100002,861,8,0.82,4,320904,2025-11-10 14:55:41
4,100003,593,4,0.75,2,195616,2025-07-10 14:55:41
5,100004,409,5,0.49,3,201711,2025-12-04 14:55:41
6,100005,576,7,0.99,0,--,2025-12-21 14:55:41
7,100006,829,6,0.33,5,471810,2025-09-14 14:55:41
8,100007,,5,0.38,5,265630,2025-11-01 14:55:41
9,100008,611,5,0.53,3,24099,2025-10-20 14:55:41
10,100009,514,7,0.85,3,107337,2025-08-10 14:55:41
11,100010,861,11,0.26,2,173364,2025-12-31 14:55:41
12,100011,684,7,0.63,5,,2025-12-24 14:55:41
13,100012,528,9,0.16,3,238080,2026-01-15 14:55:41
14,100013,498,5,0.32,2,205906,2025-08-28 14:55:41
15,100014,828,0,0.58,5,709480,2025-10-27 14:55:41
16,100015,498,6,0.05,3,269283,2025-08-08 14:55:41
17,100016,50,2,0.56,4,239336,2025-10-23 14:55:41
18,100017,758,8,0.36,2,"151,710",2025-11-09 14:55:41
19,100018,775,7,0.45,4,165600,2025-12-30 14:55:41
20,100019,324,10,0.38,4,541376,2025-09-18 14:55:41
21,100020,412,8,0.75,2,94580,2025-12-06 14:55:41
22,100021,395,8,0.17,5,452290,2025-08-04 14:55:41
23,100022,385,1,0.11,2,173140,2025-11-15 14:55:41
24,100023,784,10,0.15,4,"₹67,212",2025-10-13 14:55:41
25,100024,353,5,0.91,5,186915,2025-11-20 14:55:41
26,100025,835,11,0.34,2,123538,2025-08-25 14:55:41
27,100026,885,4,0.18,4,194428,2025-10-28 14:55:41
28,100027,,12,0.81,5,,2025-11-15 14:55:41
29,100028,585,0,0.58,0,0,2025-10-20 14:55:41
30,100029,576,12,0.15,4,262036,2025-09-11 14:55:41
31,100030,626,8,0.13,5,605990,2025-11-27 14:55:41
32,100031,809,5,0.62,1,129144,2025-11-19 14:55:41
33,100032,425,2,0.24,1,"128,370",2025-12-01 14:55:41
34,100033,726,7,0.94,5,N/A,2025-08-29 14:55:41
35,100034,536,7,0.93,1,136572,2025-12-18 14:55:41
36,100035,452,2,0.48,2,--,2026-01-04 14:55:41
37,100036,532,1,0.01,2,"100,136",2025-08-14 14:55:41
38,100037,555,10,0.05,4,290556,2025-10-23 14:55:41
39,100038,306,7,0.94,1,13307,2025-11-17 14:55:41
40,100039,740,7,0.71,0,N/A,2025-11-12 14:55:41
41,100040,1200,2,0.32,5,447240,2026-01-01 14:55:41
42,100041,717,0,0.86,2,137968,2025-11-06 14:55:41
43,100042,897,7,0.84,0,0,2025-11-11 14:55:41
44,100043,50,0,0.46,2,N/A,2025-12-19 14:55:41
45,100044,532,1,0.12,4,455324,2025-07-23 14:55:41
46,100045,779,4,0.09,1,69532,2025-12-09 14:55:41
47,100046,622,2,0.63,3,256140,2025-09-05 14:55:41
48,100047,791,2,0.09,5,118460,2025-07-22 14:55:41
49,100048,895,9,0.83,0,0,2025-12-23 14:55:41
50,100049,728,7,0.78,1,119129,2025-07-13 14:55:41
51,100050,900,12,0.03,2,"₹95,694",2025-12-24 14:55:41
52,100051,565,8,0.24,4,258172,2025-09-29 14:55:41
53,100052,595,3,0.7,1,78080,2025-12-20 14:55:41
54,100053,585,6,0.92,5,162885,2026-01-16 14:55:41
55,100054,372,0,0.03,5,638620,2025-12-15 14:55:41
56,100055,840,0,0.04,4,"₹103,796",2025-12-11 14:55:41
57,100056,890,2,-0.5,2,"160,648",2026-01-12 14:55:41
58,100057,726,11,0.67,0,0,2025-10-25 14:55:41
59,100058,388,3,0.08,1,63250,2025-11-19 14:55:41
60,100059,829,12,0.37,3,205476,2025-12-06 14:55:41
61,100060,739,4,0.1,5,330970,2025-12-06 14:55:41
62,100061,752,3,1.5,5,355250,2025-11-05 14:55:41
63,100062,,11,0.96,5,"401,540",2025-07-11 14:55:41
64,100063,690,7,0.95,3,407622,2025-11-22 14:55:41
