application_id,customer_id,age,gender,employment_type,declared_income,loan_amount,loan_tenure_months,loan_purpose,existing_loans,delinquency_count_6m,delinquency_count_12m,last_delinquency_date,created_at
1,100000,60.0,F,job,--,481712,24,Personal,1.0,,1,2025-08-25,2025-11-20 14:55:41
2,100001,,F,self-employed,735367,762526,6,Home,2.0,,2,2025-06-11,2025-12-19 14:55:41
3,100002,45.0,F,,,746503,12,Business,2.0,2,1,2025-12-08,2025-12-04 14:55:41
4,100003,60.0,Female,Salaried,590785,736508,24,Medical,3.0,5,4,2025-11-15,2025-07-09 14:55:41
5,100004,36.0,F,,663472,126365,24,Business,5.0,1,NA,2025-04-24,2025-09-07 14:55:41
6,100005,50.0,F,SALARIED,1124427,674377,0,Medical,5.0,4,6,2025-05-14,2025-11-08 14:55:41
7,100006,54.0,F,SALARIED,641768,"616,390",60,Business,1.0,3,0,2025-08-05,2025-07-23 14:55:41
8,100007,22.0,,,887691,489375,24,Car,1.0,3,3,2025-08-29,2025-09-03 14:55:41
9,100008,22.0,male,Salaried,"₹1,048,866",102727,0,Personal,2.0,6,6,2025-01-11,2025-10-20 14:55:41
10,100009,35.0,,Salaried,,209784,12,Medical,1.0,2,5,2025-03-26,2026-01-11 14:55:41
11,100010,40.0,Female,Self Employed,"₹659,292",767497,6,Personal,4.0,4,two,2025-02-25,2025-09-22 14:55:41
12,100011,30.0,female,self-employed,1163967,671254,12,Personal,3.0,4,3,2025-04-05,2025-11-12 14:55:41
13,100012,42.0,male,self-employed,"550,674",562311,0,Business,5.0,0,1,2025-10-26,2025-10-21 14:55:41
14,100013,48.0,male,Student,677231,"₹380,876",18,Education,1.0,4,2,2025-04-11,2025-11-01 14:55:41
15,100014,21.0,F,Salaried,414827,157570,0,Car,3.0,2,6,10/09/2025,2026-01-04 14:55:41
16,100015,30.0,male,SALARIED,398410,675084,-12,Car,3.0,4,4,2025-02-21,2025-11-24 14:55:41
17,100016,37.0,F,STUDENT,155611,542738,36,Business,3.0,2,5,2025-04-13,2025-08-05 14:55:41
18,100017,30.0,,Salaried,795108,352630,36,Business,3.0,3,3,2025-11-07,2025-07-29 14:55:41
19,100018,57.0,M,self-employed,517401,N/A,0,Home,3.0,5,3,2025-05-29,2025-07-07 14:55:41
20,100019,56.0,M,SELF_EMP,997616,51206,60,Home,1.0,3,1,2025-03-10,2025-07-23 14:55:41
21,100020,52.0,female,Self Employed,801690,147736,12,Car,0.0,5,3,2025-08-31,2025-10-11 14:55:41
22,100021,33.0,male,job,729332,406385,6,Personal,5.0,5,4,2025-06-21,2025-09-23 14:55:41
23,100022,41.0,female,business,"1,011,457",789485,18,Car,0.0,2,3,2025-13-40,2025-08-03 14:55:41
24,100023,30.0,,SELF_EMP,983582,757115,48,Business,5.0,,5,2025-05-29,2025-09-28 14:55:41
25,100024,27.0,female,Student,,108845,18,Education,4.0,1,6,2025-12-17,2025-12-12 14:55:41
26,100025,35.0,Male,Salaried,1125706,"215,649",36,Business,3.0,2,3,2025-07-16,2025-07-22 14:55:41
27,100026,,,,252853,350096,48,Education,5.0,6,6,2025-02-20,2025-10-30 14:55:41
