transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,account_balance,created_at
1,100000,2026-01-01,,10487,46826,2025-10-27 14:55:41
2,100000,2025-08-25,debit,11112,35714,2025-12-13 14:55:41
3,100000,2025-13-40,debit,13186,"22,528",2025-10-14 14:55:41
4,100000,2025-08-13,credit,16722,39250,2025-12-31 14:55:41
5,100000,2025-10-18,credit,18494,57744,2025-09-20 14:55:41
6,100000,09/04/2025,credit,14321,72065,2025-10-25 14:55:41
7,100000,2025-11-29,,11334,72065,2025-10-07 14:55:41
8,100001,2025-07-20,credit,479,42353,2025-10-26 14:55:41
9,100001,2025-12-02,,6764,42353,2025-12-09 14:55:41
10,100001,2025-03-18,credit,"10,308",52661,2025-09-01 14:55:41
11,100001,2025-02-06,debit,10532,--,2025-11-19 14:55:41
12,100001,2025-04-23,debit,1094,41035,2025-09-26 14:55:41
13,100002,2025-01-27,debit,14570,11360,2025-12-04 14:55:41
14,100002,2025-10-25,,17124,11360,2025-07-10 14:55:41
15,100002,2025-13-40,credit,7092,18452,2025-09-23 14:55:41
16,100002,2025-07-15,debit,"₹13,317",5135,2025-08-04 14:55:41
17,100002,2025-12-27,credit,"12,969",18104,2026-01-06 14:55:41
18,100002,2025-05-09,credit,467500,485604,2025-08-18 14:55:41
19,100002,2025-12-06,debit,12379,--,2025-12-10 14:55:41
20,100002,2025-12-10,credit,"₹12,162",485387,2025-08-10 14:55:41
21,100002,2025-05-17,,,485387,2025-12-12 14:55:41
22,100002,25/01/2025,,12554,"₹485,387",2025-11-21 14:55:41
23,100002,2025-13-40,credit,15787,501174,2025-08-07 14:55:41
24,100003,2025-05-13,credit,10780,42548,2025-07-10 14:55:41
25,100003,2025-10-21,credit,"₹4,323",46871,2025-12-24 14:55:41
26,100003,2025-05-26,,3648,46871,2025-09-21 14:55:41
27,100003,2025-09-25,,19112,46871,2025-12-11 14:55:41
28,100003,2025-01-19,,12816,"46,871",2025-11-18 14:55:41
29,100003,2025-06-16,credit,18946,65817,2025-10-06 14:55:41
30,100003,2025-04-21,debit,"₹8,811",57006,2025-10-23 14:55:41
31,100003,2025-04-07,debit,11373,45633,2025-10-22 14:55:41
32,100003,2025-05-16,credit,"12,174","57,807",2025-12-20 14:55:41
33,100003,2026-01-01,debit,4338,53469,2025-09-10 14:55:41
34,100003,2025-09-20,credit,,58312,2025-08-17 14:55:41
35,100003,2025-10-17,,17404,58312,2025-12-06 14:55:41
36,100003,2025-02-22,,5627,58312,2025-09-01 14:55:41
37,100003,2025-11-10,debit,6825,51487,2025-10-02 14:55:41
38,100003,2025-08-29,debit,4660,46827,2025-11-25 14:55:41
39,100003,2025-11-11,,2389,46827,2025-11-16 14:55:41
40,100003,2025-03-24,,N/A,"46,827",2025-11-08 14:55:41
41,100003,2025-07-26,credit,--,66226,2026-01-15 14:55:41
