customer_id,age,gender,income,employment_type,loan_amount,tenure_months,existing_loans,dependents,default
100000,59,M,336994,salaried,419792,24,2,3,1
100001,49,F,460375,self_employed,131494,18,0,0,1
100002,35,M,179301,salaried,794265,36,1,4,1
100003,28,F,1194327,salaried,651513,18,2,1,1
100004,41,M,343783,salaried,132867,18,0,4,0
100005,59,F,168752,salaried,218600,48,1,3,1
100006,39,F,1165416,salaried,508818,60,2,4,1
100007,43,M,887565,salaried,665036,12,2,0,1
100008,31,F,818755,self_employed,304265,6,2,0,1
100009,31,F,367029,salaried,569493,18,3,2,1
100010,44,M,1057669,salaried,214404,24,4,1,0
100011,56,F,527844,salaried,703817,6,0,3,1
100012,44,F,160699,salaried,534353,24,4,1,1
100013,23,M,684003,salaried,314395,24,4,4,1
100014,42,M,668652,self_employed,732387,6,4,3,1
100015,22,M,268413,salaried,147382,6,2,3,1
100016,44,M,365400,salaried,529767,60,4,0,1
100017,50,F,1182532,salaried,59583,24,3,4,1
100018,58,M,709873,salaried,624675,12,1,0,1
100019,22,F,542136,salaried,335248,60,2,0,1
100020,41,M,539954,self_employed,586512,36,0,2,1
100021,53,M,188067,salaried,499274,48,1,0,1
100022,32,F,168073,self_employed,277444,36,1,1,1
100023,42,M,186035,salaried,390716,12,1,3,1
100024,45,M,383782,self_employed,516690,60,4,0,1
100025,47,M,764661,salaried,316285,48,4,1,1
100026,48,M,764805,self_employed,728710,60,2,4,1
100027,36,M,876331,salaried,518298,6,4,3,1
100028,35,F,211929,self_employed,186149,48,4,4,1
100029,23,M,907771,salaried,620303,24,4,1,1
100030,57,F,1035296,salaried,221929,36,2,4,1
100031,27,F,817689,salaried,240912,48,2,4,0
100032,41,M,930965,self_employed,55577,24,3,4,0
100033,29,M,437313,salaried,100711,60,3,0,1
100034,59,F,237468,self_employed,613739,12,3,0,1
100035,38,F,341703,salaried,543027,48,3,0,1
100036,24,M,1140669,salaried,754463,24,1,3,0
100037,45,M,857650,salaried,471863,60,1,1,1
100038,34,M,443894,student,609119,60,3,0,1
100039,29,M,786308,self_employed,299402,60,3,4,1
100040,46,F,943153,self_employed,294942,12,0,4,1
100041,22,F,694897,salaried,145119,6,1,4,0
100042,40,M,254211,salaried,392776,12,0,4,0
100043,48,F,637689,self_employed,798224,12,0,2,1
100044,27,F,1073160,salaried,635842,36,4,3,1
100045,28,M,1010952,self_employed,100755,60,2,1,1
100046,55,M,1000741,self_employed,203412,24,1,1,1
100047,34,F,312624,self_employed,638172,48,3,0,1
100048,37,F,843045,self_employed,591770,36,3,2,1
100049,56,F,1141469,salaried,104225,60,2,1,1
100050,24,M,295788,salaried,239921,18,1,3,0
100051,22,M,788387,student,649142,12,3,4,1
100052,26,M,685426,salaried,615544,18,3,0,1
100053,24,F,840658,self_employed,290617,60,4,3,1
100054,49,F,1118616,self_employed,158721,36,0,1,0
100055,38,M,173429,salaried,655398,24,3,2,1
100056,46,F,922577,student,163606,36,1,0,1
100057,54,F,1037700,salaried,588938,24,2,1,1
100058,30,F,706110,salaried,227190,24,4,0,0
100059,56,F,1114163,salaried,78930,60,1,1,1
100060,34,M,1065387,salaried,791067,6,4,4,1
100061,51,F,157967,salaried,310102,60,0,2,1
100062,35,M,375371,salaried,412544,12,3,4,1
100063,28,M,702467,self_employed,323945,36,1,1,1
100064,34,F,401537,self_employed,625648,24,2,3,1
100065,43,F,991531,salaried,197631,60,0,4,1
100066,41,M,1014645,salaried,344478,60,0,3,1
100067,36,F,1085772,self_employed,286545,36,4,1,1
100068,38,F,621082,salaried,63288,36,0,2,1
100069,44,F,210545,salaried,727758,24,1,3,1
100070,46,M,373894,salaried,257302,48,4,1,1
100071,45,F,877506,salaried,330195,18,0,3,1
100072,49,M,1139470,salaried,111715,12,2,4,1
100073,35,M,400497,student,60737,12,1,1,0
100074,21,M,1123181,salaried,639428,48,2,4,0
100075,45,M,1169658,salaried,730611,6,2,0,1
100076,27,F,851692,salaried,232047,48,4,1,1
100077,29,M,1056295,salaried,317291,6,3,3,1
100078,44,F,843206,self_employed,624796,6,4,0,1
100079,21,M,835154,self_employed,364368,48,1,4,0
100080,28,F,375469,self_employed,331787,12,1,4,1
100081,44,F,287478,salaried,351111,18,4,3,1
100082,31,F,1059711,self_employed,153535,12,3,0,1
100083,37,F,771827,self_employed,346952,60,4,2,1
100084,28,F,643158,self_employed,562438,12,1,3,1
100085,55,F,173312,salaried,772648,12,3,4,1
100086,55,F,1110612,salaried,633247,48,1,1,0
100087,53,M,577387,salaried,445065,48,3,0,1
100088,25,F,584995,self_employed,380322,60,3,2,1
100089,59,M,948843,salaried,772496,60,4,1,1
100090,48,M,993441,salaried,241812,48,4,0,0
100091,27,F,585684,self_employed,162255,12,4,3,0
100092,29,M,207022,self_employed,660610,18,3,3,1
100093,28,F,483373,self_employed,558522,6,3,0,1
100094,32,M,1147858,salaried,51132,36,1,2,1
100095,54,M,508918,self_employed,743619,6,2,0,1
100096,53,M,639626,salaried,309427,60,4,1,0
100097,43,M,438859,salaried,481779,60,1,1,1
100098,44,F,964037,salaried,535443,6,1,3,1
100099,57,M,705462,salaried,683123,36,0,0,1
100100,55,M,1077460,salaried,192003,12,4,3,1
100101,42,M,343718,self_employed,647457,18,1,2,1
100102,47,M,744305,salaried,310529,18,0,1,1
100103,55,F,213037,self_employed,493855,6,4,4,1
100104,21,M,680836,salaried,303608,36,3,4,1
100105,55,F,791269,salaried,764261,60,0,0,1
100106,57,F,354366,salaried,674705,24,3,0,1
100107,34,F,652420,salaried,575332,12,2,4,1
100108,23,F,304249,salaried,227763,6,2,0,1
100109,21,M,1188199,salaried,281807,18,2,1,1
100110,25,M,810902,salaried,74363,60,2,2,0
100111,46,F,690340,salaried,358838,48,1,2,1
100112,34,F,852436,salaried,444798,48,2,3,1
100113,59,F,596636,self_employed,386473,36,1,1,1
100114,47,F,806031,salaried,51620,36,1,0,1
100115,29,M,412307,self_employed,374368,6,4,0,1
100116,35,M,1121248,self_employed,499871,24,1,3,1
100117,35,F,613547,self_employed,145419,18,1,3,0
100118,46,F,553850,self_employed,742894,6,2,0,1
100119,33,M,660259,salaried,546712,24,1,0,1
100120,52,F,778419,self_employed,776989,60,3,1,1
100121,59,M,375019,self_employed,230324,36,2,3,1
100122,52,M,747218,salaried,367953,48,0,1,1
100123,24,F,967052,salaried,596547,12,2,0,0
100124,50,F,869401,salaried,70655,60,1,4,0
100125,57,M,574127,self_employed,500400,48,3,4,1
100126,43,M,153191,self_employed,71602,18,2,0,1
100127,59,M,778864,salaried,716470,18,3,3,1
100128,35,F,592939,salaried,392962,48,0,4,1
100129,49,M,454224,salaried,575825,60,0,3,0
100130,56,F,370169,salaried,460354,48,4,4,1
100131,33,F,764641,student,751562,24,4,3,1
100132,52,F,702959,salaried,221236,6,2,4,1
100133,27,M,371972,salaried,139743,36,4,3,1
100134,42,F,898321,salaried,497875,24,3,1,1
100135,48,M,658679,self_employed,136155,12,4,3,0
100136,22,M,571818,salaried,139846,48,3,1,0
100137,26,M,854590,self_employed,342706,12,4,1,1
100138,48,M,1141120,salaried,766112,12,4,0,1
100139,48,F,730780,salaried,657337,24,4,1,1
100140,40,M,1115188,salaried,289647,36,1,2,1
100141,50,M,704399,salaried,380825,60,1,1,1
100142,31,F,213936,salaried,339962,18,4,3,1
100143,48,M,373332,self_employed,369849,6,3,1,1
100144,45,F,875836,self_employed,594392,18,2,3,1
100145,59,M,637510,student,436480,36,0,3,1
100146,53,M,213530,salaried,702192,18,1,2,1
