customer_id,credit_score,inquiries_6m,delinquency_12m,utilization_ratio,total_outstanding_amount
100000,569,4,0,0.337,113672
100001,722,1,2,0.144,0
100002,653,1,1,0.659,121751
100003,525,2,0,0.21,88562
100004,628,7,2,0.236,0
100005,814,5,3,0.0,167020
100006,710,3,2,0.021,349422
100007,737,0,1,0.232,322616
100008,689,1,2,0.289,351062
100009,666,2,4,0.494,253767
100010,681,1,0,0.051,707488
100011,698,1,2,0.44,0
100012,597,1,0,0.475,493708
100013,737,5,0,0.485,460628
100014,764,2,2,0.557,621000
100015,665,1,1,0.118,235968
100016,640,3,2,0.458,657392
100017,624,5,1,0.703,497700
100018,811,1,1,0.63,26149
100019,646,3,2,0.728,225728
100020,728,1,1,0.398,0
100021,665,3,2,0.232,73781
100022,661,5,1,0.0,182448
100023,622,2,1,0.101,195034
100024,607,1,2,0.245,622472
100025,735,0,1,0.281,322240
100026,605,1,1,0.192,332866
100027,714,3,1,0.418,355580
100028,686,4,2,0.389,296660
100029,736,1,1,0.358,390680
100030,634,5,3,0.507,120744
100031,761,2,2,0.256,261610
100032,669,3,1,0.569,563562
100033,874,1,1,0.109,455913
100034,558,3,0,0.289,349884
100035,862,1,0,0.414,356868
100036,670,5,1,0.0,142684
100037,696,4,1,0.249,152054
100038,634,2,4,0.492,356637
100039,562,3,1,0.265,282180
100040,640,1,1,0.0,0
100041,652,2,3,0.173,143168
100042,693,1,1,0.081,0
100043,764,5,1,0.449,0
100044,694,1,2,0.373,521316
100045,695,2,3,0.038,383160
100046,708,0,1,0.022,58794
100047,548,1,0,0.205,122259
100048,555,0,2,0.356,401052
100049,567,3,1,0.216,342566
100050,652,0,1,0.42,47238
100051,539,4,0,0.413,312729
100052,628,1,1,0.456,198258
100053,577,2,1,0.067,190556
100054,716,2,0,0.295,0
100055,712,2,1,0.565,567732
100056,657,1,0,0.216,189132
100057,537,2,1,0.187,257496
100058,662,0,1,0.252,293400
100059,704,5,2,0.247,96779
100060,740,4,0,0.374,291392
100061,811,4,1,0.234,0
100062,763,1,0,0.0,386709
100063,692,1,0,0.587,105122
100064,658,3,1,0.451,73380
100065,624,1,0,0.38,0
100066,781,3,2,0.331,0
100067,692,0,3,0.285,104756
100068,727,1,2,0.19,0
100069,635,3,1,0.0,154661
100070,586,2,2,0.675,487780
100071,649,3,0,0.354,0
100072,657,2,0,0.028,202034
100073,694,1,2,0.145,147224
100074,624,2,0,0.411,214056
100075,681,1,1,0.407,396764
